Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;001;TORINO;Oulx;001175;; 87.445 ; 3.072 ; 90.517 ; 2.953 ; 1.435 ; 4.388 ; 84.492 ; 1.637 ; 86.129 ;; 171.237 ; 22.270 ; 193.507 ; 8.124 ; 3.823 ; 11.947 ; 163.113 ; 18.447 ; 181.560 
 010 ;PIEMONTE;001;TORINO;Pavone Canavese;001181;; 3.508 ; 2.723 ; 6.231 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 4.093 ; 3.768 ; 7.861 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Pecetto Torinese;001183;; 2.044 ; 1.054 ; 3.098 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 3.480 ; 2.668 ; 6.148 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Perosa Argentina;001184;; 416 ; 118 ; 534 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 871 ; 312 ; 1.183 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Pinerolo;001191;; 4.743 ; 3.174 ; 7.917 ; 3.695 ; 2.559 ; 6.254 ; 1.048 ; 615 ; 1.663 ;; 18.524 ; 8.622 ; 27.146 ; 5.915 ; 4.791 ; 10.706 ; 12.609 ; 3.831 ; 16.440 
 010 ;PIEMONTE;001;TORINO;Pino Torinese;001192;(a); 4.165 ; 1.305 ; 5.470 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 14.707 ; 5.040 ; 19.747 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Piossasco;001194;(a); 2.204 ; 98 ; 2.302 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.429 ; 238 ; 7.667 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Piverone;001196;; 2.658 ; 744 ; 3.402 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.724 ; 1.681 ; 9.405 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Poirino;001197;; 7.129 ; 774 ; 7.903 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 19.336 ; 2.102 ; 21.438 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Pragelato;001201;; 27.346 ; 9.703 ; 37.049 ; 21.482 ; 9.143 ; 30.625 ; 5.864 ; 560 ; 6.424 ;; 148.331 ; 35.105 ; 183.436 ; 72.129 ; 32.553 ; 104.682 ; 76.202 ; 2.552 ; 78.754 
 010 ;PIEMONTE;001;TORINO;Prali;001202;; 2.562 ; 630 ; 3.192 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 15.732 ; 3.145 ; 18.877 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Pralormo;001203;; 4.970 ; 1.275 ; 6.245 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 9.424 ; 3.523 ; 12.947 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Rivarolo Canavese;001217;; 8.881 ; 4.810 ; 13.691 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 22.918 ; 31.640 ; 54.558 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Rivoli;001219;; 30.265 ; 2.039 ; 32.304 ; 27.492 ; 1.812 ; 29.304 ; 2.773 ; 227 ; 3.000 ;; 73.890 ; 4.616 ; 78.506 ; 59.439 ; 2.456 ; 61.895 ; 14.451 ; 2.160 ; 16.611 
